feature,infected,not_infected
srcpt_22,0.0001995213465589367,0.0
srcpt_23,3.461336867193449e-06,0.0
srcpt_443,0.0,0.6374218325606074
srcpt_53,1.2114679035177072e-05,0.0007630405396869513
srcpt_80,0.000319431945172424,0.0027540204909231023
srcpt_other,0.9994654706923662,0.3590611064087825
dstpt_22,0.00018913733595735634,0.0
dstpt_23,0.29170342276768496,0.0
dstpt_443,0.0,0.34617026921181954
dstpt_53,0.00489185794673497,0.0007630405396869513
dstpt_80,0.017404590721639288,0.004045125510062282
dstpt_other,0.6858109912279834,0.6490215647384312
tcpfg_ns,0.024789352927796514,0.0
tcpfg_urg,0.007029233462226925,0.0
tcpfg_ack,0.013923474786633305,0.9893199590686863
tcpfg_psh,0.009713005726040131,0.02874540470204783
tcpfg_rst,2.7196218242234243e-05,0.00043963262882625666
tcpfg_syn,0.9879832273504949,0.0017433707694834316
tcpfg_fin,0.0004207996677116607,0.0020288793157901388
